file_id,label,split,snr_db,siren_src,clip_dur_s,wav_path,npy_path
pos_02009_Siren_8_snr-5dB.wav,1,train,-5.0,Siren_8,2,clips\positive\pos_02009_Siren_8_snr-5dB.wav,features\positive\pos_02009_Siren_8_snr-5dB.npy
neg_02723.wav,0,train,,,2,clips\negative\neg_02723.wav,features\negative\neg_02723.npy
neg_04344.wav,0,train,,,2,clips\negative\neg_04344.wav,features\negative\neg_04344.npy
neg_00034.wav,0,train,,,2,clips\negative\neg_00034.wav,features\negative\neg_00034.npy
pos_00169_Siren_4_snr-5dB.wav,1,train,-5.0,Siren_4,2,clips\positive\pos_00169_Siren_4_snr-5dB.wav,features\positive\pos_00169_Siren_4_snr-5dB.npy
pos_01411_Siren_2_snr+10dB.wav,1,train,10.0,Siren_2,2,clips\positive\pos_01411_Siren_2_snr+10dB.wav,features\positive\pos_01411_Siren_2_snr+10dB.npy
neg_05742.wav,0,train,,,2,clips\negative\neg_05742.wav,features\negative\neg_05742.npy
pos_02417_Siren_2_snr+5dB.wav,1,train,5.0,Siren_2,2,clips\positive\pos_02417_Siren_2_snr+5dB.wav,features\positive\pos_02417_Siren_2_snr+5dB.npy
neg_04505.wav,0,train,,,2,clips\negative\neg_04505.wav,features\negative\neg_04505.npy
neg_00145.wav,0,train,,,2,clips\negative\neg_00145.wav,features\negative\neg_00145.npy
neg_03936.wav,0,train,,,2,clips\negative\neg_03936.wav,features\negative\neg_03936.npy
neg_02020.wav,0,train,,,2,clips\negative\neg_02020.wav,features\negative\neg_02020.npy
neg_04541.wav,0,train,,,2,clips\negative\neg_04541.wav,features\negative\neg_04541.npy
pos_01739_Siren_6_snr-5dB.wav,1,train,-5.0,Siren_6,2,clips\positive\pos_01739_Siren_6_snr-5dB.wav,features\positive\pos_01739_Siren_6_snr-5dB.npy
neg_04098.wav,0,train,,,2,clips\negative\neg_04098.wav,features\negative\neg_04098.npy
pos_03043_Siren_6_snr+0dB.wav,1,train,0.0,Siren_6,2,clips\positive\pos_03043_Siren_6_snr+0dB.wav,features\positive\pos_03043_Siren_6_snr+0dB.npy
neg_00106.wav,0,train,,,2,clips\negative\neg_00106.wav,features\negative\neg_00106.npy
pos_01748_Siren_4_snr+0dB.wav,1,train,0.0,Siren_4,2,clips\positive\pos_01748_Siren_4_snr+0dB.wav,features\positive\pos_01748_Siren_4_snr+0dB.npy
neg_04573.wav,0,train,,,2,clips\negative\neg_04573.wav,features\negative\neg_04573.npy
neg_01230.wav,0,train,,,2,clips\negative\neg_01230.wav,features\negative\neg_01230.npy
pos_03784_Siren_4_snr-5dB.wav,1,train,-5.0,Siren_4,2,clips\positive\pos_03784_Siren_4_snr-5dB.wav,features\positive\pos_03784_Siren_4_snr-5dB.npy
pos_03251_Siren_4_snr+10dB.wav,1,train,10.0,Siren_4,2,clips\positive\pos_03251_Siren_4_snr+10dB.wav,features\positive\pos_03251_Siren_4_snr+10dB.npy
pos_00749_Siren_1_snr-5dB.wav,1,train,-5.0,Siren_1,2,clips\positive\pos_00749_Siren_1_snr-5dB.wav,features\positive\pos_00749_Siren_1_snr-5dB.npy
pos_06050_Siren_3_snr+20dB.wav,1,train,20.0,Siren_3,2,clips\positive\pos_06050_Siren_3_snr+20dB.wav,features\positive\pos_06050_Siren_3_snr+20dB.npy
pos_05180_Siren_1_snr+20dB.wav,1,train,20.0,Siren_1,2,clips\positive\pos_05180_Siren_1_snr+20dB.wav,features\positive\pos_05180_Siren_1_snr+20dB.npy
neg_03047.wav,0,train,,,2,clips\negative\neg_03047.wav,features\negative\neg_03047.npy
pos_00794_Siren_8_snr-5dB.wav,1,train,-5.0,Siren_8,2,clips\positive\pos_00794_Siren_8_snr-5dB.wav,features\positive\pos_00794_Siren_8_snr-5dB.npy
neg_01584.wav,0,train,,,2,clips\negative\neg_01584.wav,features\negative\neg_01584.npy
neg_02711.wav,0,train,,,2,clips\negative\neg_02711.wav,features\negative\neg_02711.npy
pos_07463_Siren_8_snr+0dB.wav,1,train,0.0,Siren_8,2,clips\positive\pos_07463_Siren_8_snr+0dB.wav,features\positive\pos_07463_Siren_8_snr+0dB.npy
neg_01268.wav,0,train,,,2,clips\negative\neg_01268.wav,features\negative\neg_01268.npy
neg_02218.wav,0,train,,,2,clips\negative\neg_02218.wav,features\negative\neg_02218.npy
pos_03820_Siren_4_snr+20dB.wav,1,train,20.0,Siren_4,2,clips\positive\pos_03820_Siren_4_snr+20dB.wav,features\positive\pos_03820_Siren_4_snr+20dB.npy
neg_05320.wav,0,train,,,2,clips\negative\neg_05320.wav,features\negative\neg_05320.npy
neg_00483.wav,0,train,,,2,clips\negative\neg_00483.wav,features\negative\neg_00483.npy
neg_05714.wav,0,train,,,2,clips\negative\neg_05714.wav,features\negative\neg_05714.npy
pos_04099_Siren_1_snr-5dB.wav,1,train,-5.0,Siren_1,2,clips\positive\pos_04099_Siren_1_snr-5dB.wav,features\positive\pos_04099_Siren_1_snr-5dB.npy
neg_04619.wav,0,train,,,2,clips\negative\neg_04619.wav,features\negative\neg_04619.npy
neg_04004.wav,0,train,,,2,clips\negative\neg_04004.wav,features\negative\neg_04004.npy
neg_05474.wav,0,train,,,2,clips\negative\neg_05474.wav,features\negative\neg_05474.npy
pos_05496_Siren_8_snr+10dB.wav,1,train,10.0,Siren_8,2,clips\positive\pos_05496_Siren_8_snr+10dB.wav,features\positive\pos_05496_Siren_8_snr+10dB.npy
pos_06216_Siren_8_snr+10dB.wav,1,train,10.0,Siren_8,2,clips\positive\pos_06216_Siren_8_snr+10dB.wav,features\positive\pos_06216_Siren_8_snr+10dB.npy
pos_05363_Siren_8_snr+0dB.wav,1,train,0.0,Siren_8,2,clips\positive\pos_05363_Siren_8_snr+0dB.wav,features\positive\pos_05363_Siren_8_snr+0dB.npy
neg_02786.wav,0,train,,,2,clips\negative\neg_02786.wav,features\negative\neg_02786.npy
pos_00168_Siren_1_snr+0dB.wav,1,train,0.0,Siren_1,2,clips\positive\pos_00168_Siren_1_snr+0dB.wav,features\positive\pos_00168_Siren_1_snr+0dB.npy
pos_07492_Siren_2_snr+5dB.wav,1,train,5.0,Siren_2,2,clips\positive\pos_07492_Siren_2_snr+5dB.wav,features\positive\pos_07492_Siren_2_snr+5dB.npy
neg_03038.wav,0,train,,,2,clips\negative\neg_03038.wav,features\negative\neg_03038.npy
neg_05203.wav,0,train,,,2,clips\negative\neg_05203.wav,features\negative\neg_05203.npy
pos_00327_Siren_8_snr+5dB.wav,1,train,5.0,Siren_8,2,clips\positive\pos_00327_Siren_8_snr+5dB.wav,features\positive\pos_00327_Siren_8_snr+5dB.npy
pos_01984_Siren_5_snr-5dB.wav,1,train,-5.0,Siren_5,2,clips\positive\pos_01984_Siren_5_snr-5dB.wav,features\positive\pos_01984_Siren_5_snr-5dB.npy
pos_01516_Siren_7_snr+10dB.wav,1,train,10.0,Siren_7,2,clips\positive\pos_01516_Siren_7_snr+10dB.wav,features\positive\pos_01516_Siren_7_snr+10dB.npy
pos_02957_Siren_4_snr+5dB.wav,1,train,5.0,Siren_4,2,clips\positive\pos_02957_Siren_4_snr+5dB.wav,features\positive\pos_02957_Siren_4_snr+5dB.npy
pos_02232_Siren_5_snr+5dB.wav,1,train,5.0,Siren_5,2,clips\positive\pos_02232_Siren_5_snr+5dB.wav,features\positive\pos_02232_Siren_5_snr+5dB.npy
pos_02487_Siren_6_snr+5dB.wav,1,train,5.0,Siren_6,2,clips\positive\pos_02487_Siren_6_snr+5dB.wav,features\positive\pos_02487_Siren_6_snr+5dB.npy
pos_07444_Siren_2_snr-5dB.wav,1,train,-5.0,Siren_2,2,clips\positive\pos_07444_Siren_2_snr-5dB.wav,features\positive\pos_07444_Siren_2_snr-5dB.npy
neg_06030.wav,0,train,,,2,clips\negative\neg_06030.wav,features\negative\neg_06030.npy
neg_00748.wav,0,train,,,2,clips\negative\neg_00748.wav,features\negative\neg_00748.npy
pos_01454_Siren_7_snr-5dB.wav,1,train,-5.0,Siren_7,2,clips\positive\pos_01454_Siren_7_snr-5dB.wav,features\positive\pos_01454_Siren_7_snr-5dB.npy
neg_00387.wav,0,train,,,2,clips\negative\neg_00387.wav,features\negative\neg_00387.npy
pos_01236_Siren_1_snr+10dB.wav,1,train,10.0,Siren_1,2,clips\positive\pos_01236_Siren_1_snr+10dB.wav,features\positive\pos_01236_Siren_1_snr+10dB.npy
pos_03813_Siren_2_snr+0dB.wav,1,train,0.0,Siren_2,2,clips\positive\pos_03813_Siren_2_snr+0dB.wav,features\positive\pos_03813_Siren_2_snr+0dB.npy
pos_04540_Siren_1_snr+20dB.wav,1,train,20.0,Siren_1,2,clips\positive\pos_04540_Siren_1_snr+20dB.wav,features\positive\pos_04540_Siren_1_snr+20dB.npy
pos_07333_Siren_5_snr+0dB.wav,1,train,0.0,Siren_5,2,clips\positive\pos_07333_Siren_5_snr+0dB.wav,features\positive\pos_07333_Siren_5_snr+0dB.npy
neg_03681.wav,0,train,,,2,clips\negative\neg_03681.wav,features\negative\neg_03681.npy
pos_04676_Siren_7_snr+10dB.wav,1,train,10.0,Siren_7,2,clips\positive\pos_04676_Siren_7_snr+10dB.wav,features\positive\pos_04676_Siren_7_snr+10dB.npy
pos_01766_Siren_1_snr+10dB.wav,1,train,10.0,Siren_1,2,clips\positive\pos_01766_Siren_1_snr+10dB.wav,features\positive\pos_01766_Siren_1_snr+10dB.npy
neg_02240.wav,0,train,,,2,clips\negative\neg_02240.wav,features\negative\neg_02240.npy
pos_01107_Siren_8_snr+5dB.wav,1,train,5.0,Siren_8,2,clips\positive\pos_01107_Siren_8_snr+5dB.wav,features\positive\pos_01107_Siren_8_snr+5dB.npy
neg_01411.wav,0,train,,,2,clips\negative\neg_01411.wav,features\negative\neg_01411.npy
neg_06485.wav,0,train,,,2,clips\negative\neg_06485.wav,features\negative\neg_06485.npy
pos_00518_Siren_5_snr+0dB.wav,1,train,0.0,Siren_5,2,clips\positive\pos_00518_Siren_5_snr+0dB.wav,features\positive\pos_00518_Siren_5_snr+0dB.npy
pos_07434_Siren_5_snr-5dB.wav,1,train,-5.0,Siren_5,2,clips\positive\pos_07434_Siren_5_snr-5dB.wav,features\positive\pos_07434_Siren_5_snr-5dB.npy
pos_04870_Siren_1_snr+20dB.wav,1,train,20.0,Siren_1,2,clips\positive\pos_04870_Siren_1_snr+20dB.wav,features\positive\pos_04870_Siren_1_snr+20dB.npy
neg_02575.wav,0,train,,,2,clips\negative\neg_02575.wav,features\negative\neg_02575.npy
pos_04954_Siren_1_snr-5dB.wav,1,train,-5.0,Siren_1,2,clips\positive\pos_04954_Siren_1_snr-5dB.wav,features\positive\pos_04954_Siren_1_snr-5dB.npy
pos_07150_Siren_8_snr+20dB.wav,1,train,20.0,Siren_8,2,clips\positive\pos_07150_Siren_8_snr+20dB.wav,features\positive\pos_07150_Siren_8_snr+20dB.npy
neg_00334.wav,0,train,,,2,clips\negative\neg_00334.wav,features\negative\neg_00334.npy
pos_06987_Siren_7_snr+5dB.wav,1,train,5.0,Siren_7,2,clips\positive\pos_06987_Siren_7_snr+5dB.wav,features\positive\pos_06987_Siren_7_snr+5dB.npy
pos_07085_Siren_2_snr+20dB.wav,1,train,20.0,Siren_2,2,clips\positive\pos_07085_Siren_2_snr+20dB.wav,features\positive\pos_07085_Siren_2_snr+20dB.npy
neg_02527.wav,0,train,,,2,clips\negative\neg_02527.wav,features\negative\neg_02527.npy
pos_03101_Siren_2_snr+10dB.wav,1,train,10.0,Siren_2,2,clips\positive\pos_03101_Siren_2_snr+10dB.wav,features\positive\pos_03101_Siren_2_snr+10dB.npy
neg_04104.wav,0,train,,,2,clips\negative\neg_04104.wav,features\negative\neg_04104.npy
pos_05391_Siren_1_snr+10dB.wav,1,train,10.0,Siren_1,2,clips\positive\pos_05391_Siren_1_snr+10dB.wav,features\positive\pos_05391_Siren_1_snr+10dB.npy
pos_07174_Siren_8_snr-5dB.wav,1,train,-5.0,Siren_8,2,clips\positive\pos_07174_Siren_8_snr-5dB.wav,features\positive\pos_07174_Siren_8_snr-5dB.npy
neg_04091.wav,0,train,,,2,clips\negative\neg_04091.wav,features\negative\neg_04091.npy
pos_06151_Siren_7_snr+10dB.wav,1,train,10.0,Siren_7,2,clips\positive\pos_06151_Siren_7_snr+10dB.wav,features\positive\pos_06151_Siren_7_snr+10dB.npy
neg_01926.wav,0,train,,,2,clips\negative\neg_01926.wav,features\negative\neg_01926.npy
pos_05412_Siren_4_snr+5dB.wav,1,train,5.0,Siren_4,2,clips\positive\pos_05412_Siren_4_snr+5dB.wav,features\positive\pos_05412_Siren_4_snr+5dB.npy
pos_07360_Siren_7_snr+20dB.wav,1,train,20.0,Siren_7,2,clips\positive\pos_07360_Siren_7_snr+20dB.wav,features\positive\pos_07360_Siren_7_snr+20dB.npy
pos_04905_Siren_2_snr+20dB.wav,1,train,20.0,Siren_2,2,clips\positive\pos_04905_Siren_2_snr+20dB.wav,features\positive\pos_04905_Siren_2_snr+20dB.npy
pos_01261_Siren_1_snr+10dB.wav,1,train,10.0,Siren_1,2,clips\positive\pos_01261_Siren_1_snr+10dB.wav,features\positive\pos_01261_Siren_1_snr+10dB.npy
pos_07181_Siren_3_snr+10dB.wav,1,train,10.0,Siren_3,2,clips\positive\pos_07181_Siren_3_snr+10dB.wav,features\positive\pos_07181_Siren_3_snr+10dB.npy
pos_01385_Siren_4_snr+20dB.wav,1,train,20.0,Siren_4,2,clips\positive\pos_01385_Siren_4_snr+20dB.wav,features\positive\pos_01385_Siren_4_snr+20dB.npy
pos_04401_Siren_4_snr+10dB.wav,1,train,10.0,Siren_4,2,clips\positive\pos_04401_Siren_4_snr+10dB.wav,features\positive\pos_04401_Siren_4_snr+10dB.npy
pos_00304_Siren_3_snr-5dB.wav,1,train,-5.0,Siren_3,2,clips\positive\pos_00304_Siren_3_snr-5dB.wav,features\positive\pos_00304_Siren_3_snr-5dB.npy
neg_05923.wav,0,train,,,2,clips\negative\neg_05923.wav,features\negative\neg_05923.npy
neg_05055.wav,0,train,,,2,clips\negative\neg_05055.wav,features\negative\neg_05055.npy
neg_00597.wav,0,train,,,2,clips\negative\neg_00597.wav,features\negative\neg_00597.npy
pos_03613_Siren_6_snr+0dB.wav,1,train,0.0,Siren_6,2,clips\positive\pos_03613_Siren_6_snr+0dB.wav,features\positive\pos_03613_Siren_6_snr+0dB.npy
pos_00099_Siren_1_snr-5dB.wav,1,train,-5.0,Siren_1,2,clips\positive\pos_00099_Siren_1_snr-5dB.wav,features\positive\pos_00099_Siren_1_snr-5dB.npy
pos_04035_Siren_4_snr+20dB.wav,1,train,20.0,Siren_4,2,clips\positive\pos_04035_Siren_4_snr+20dB.wav,features\positive\pos_04035_Siren_4_snr+20dB.npy
pos_00903_Siren_5_snr+0dB.wav,1,train,0.0,Siren_5,2,clips\positive\pos_00903_Siren_5_snr+0dB.wav,features\positive\pos_00903_Siren_5_snr+0dB.npy
neg_00222.wav,0,train,,,2,clips\negative\neg_00222.wav,features\negative\neg_00222.npy
neg_01714.wav,0,train,,,2,clips\negative\neg_01714.wav,features\negative\neg_01714.npy
pos_01373_Siren_8_snr+0dB.wav,1,train,0.0,Siren_8,2,clips\positive\pos_01373_Siren_8_snr+0dB.wav,features\positive\pos_01373_Siren_8_snr+0dB.npy
pos_01010_Siren_4_snr+20dB.wav,1,train,20.0,Siren_4,2,clips\positive\pos_01010_Siren_4_snr+20dB.wav,features\positive\pos_01010_Siren_4_snr+20dB.npy
pos_05945_Siren_4_snr+20dB.wav,1,train,20.0,Siren_4,2,clips\positive\pos_05945_Siren_4_snr+20dB.wav,features\positive\pos_05945_Siren_4_snr+20dB.npy
neg_03442.wav,0,train,,,2,clips\negative\neg_03442.wav,features\negative\neg_03442.npy
pos_07405_Siren_5_snr+20dB.wav,1,train,20.0,Siren_5,2,clips\positive\pos_07405_Siren_5_snr+20dB.wav,features\positive\pos_07405_Siren_5_snr+20dB.npy
pos_00290_Siren_3_snr+20dB.wav,1,train,20.0,Siren_3,2,clips\positive\pos_00290_Siren_3_snr+20dB.wav,features\positive\pos_00290_Siren_3_snr+20dB.npy
neg_00195.wav,0,train,,,2,clips\negative\neg_00195.wav,features\negative\neg_00195.npy
neg_03013.wav,0,train,,,2,clips\negative\neg_03013.wav,features\negative\neg_03013.npy
neg_02609.wav,0,train,,,2,clips\negative\neg_02609.wav,features\negative\neg_02609.npy
pos_02039_Siren_4_snr-5dB.wav,1,train,-5.0,Siren_4,2,clips\positive\pos_02039_Siren_4_snr-5dB.wav,features\positive\pos_02039_Siren_4_snr-5dB.npy
pos_03375_Siren_1_snr+20dB.wav,1,train,20.0,Siren_1,2,clips\positive\pos_03375_Siren_1_snr+20dB.wav,features\positive\pos_03375_Siren_1_snr+20dB.npy
pos_04602_Siren_7_snr+5dB.wav,1,train,5.0,Siren_7,2,clips\positive\pos_04602_Siren_7_snr+5dB.wav,features\positive\pos_04602_Siren_7_snr+5dB.npy
pos_03371_Siren_2_snr+10dB.wav,1,train,10.0,Siren_2,2,clips\positive\pos_03371_Siren_2_snr+10dB.wav,features\positive\pos_03371_Siren_2_snr+10dB.npy
neg_05178.wav,0,train,,,2,clips\negative\neg_05178.wav,features\negative\neg_05178.npy
neg_04046.wav,0,train,,,2,clips\negative\neg_04046.wav,features\negative\neg_04046.npy
neg_04957.wav,0,train,,,2,clips\negative\neg_04957.wav,features\negative\neg_04957.npy
pos_01323_Siren_3_snr+0dB.wav,1,train,0.0,Siren_3,2,clips\positive\pos_01323_Siren_3_snr+0dB.wav,features\positive\pos_01323_Siren_3_snr+0dB.npy
pos_03069_Siren_6_snr-5dB.wav,1,train,-5.0,Siren_6,2,clips\positive\pos_03069_Siren_6_snr-5dB.wav,features\positive\pos_03069_Siren_6_snr-5dB.npy
neg_04033.wav,0,train,,,2,clips\negative\neg_04033.wav,features\negative\neg_04033.npy
neg_01964.wav,0,train,,,2,clips\negative\neg_01964.wav,features\negative\neg_01964.npy
neg_06555.wav,0,train,,,2,clips\negative\neg_06555.wav,features\negative\neg_06555.npy
pos_02753_Siren_8_snr+0dB.wav,1,train,0.0,Siren_8,2,clips\positive\pos_02753_Siren_8_snr+0dB.wav,features\positive\pos_02753_Siren_8_snr+0dB.npy
neg_03165.wav,0,train,,,2,clips\negative\neg_03165.wav,features\negative\neg_03165.npy
pos_03194_Siren_5_snr-5dB.wav,1,train,-5.0,Siren_5,2,clips\positive\pos_03194_Siren_5_snr-5dB.wav,features\positive\pos_03194_Siren_5_snr-5dB.npy
pos_02348_Siren_1_snr+0dB.wav,1,train,0.0,Siren_1,2,clips\positive\pos_02348_Siren_1_snr+0dB.wav,features\positive\pos_02348_Siren_1_snr+0dB.npy
neg_05468.wav,0,train,,,2,clips\negative\neg_05468.wav,features\negative\neg_05468.npy
neg_05129.wav,0,train,,,2,clips\negative\neg_05129.wav,features\negative\neg_05129.npy
neg_03197.wav,0,train,,,2,clips\negative\neg_03197.wav,features\negative\neg_03197.npy
neg_03805.wav,0,train,,,2,clips\negative\neg_03805.wav,features\negative\neg_03805.npy
neg_05854.wav,0,train,,,2,clips\negative\neg_05854.wav,features\negative\neg_05854.npy
pos_04789_Siren_4_snr-5dB.wav,1,train,-5.0,Siren_4,2,clips\positive\pos_04789_Siren_4_snr-5dB.wav,features\positive\pos_04789_Siren_4_snr-5dB.npy
neg_04519.wav,0,train,,,2,clips\negative\neg_04519.wav,features\negative\neg_04519.npy
neg_00697.wav,0,train,,,2,clips\negative\neg_00697.wav,features\negative\neg_00697.npy
neg_00796.wav,0,train,,,2,clips\negative\neg_00796.wav,features\negative\neg_00796.npy
pos_05404_Siren_4_snr-5dB.wav,1,train,-5.0,Siren_4,2,clips\positive\pos_05404_Siren_4_snr-5dB.wav,features\positive\pos_05404_Siren_4_snr-5dB.npy
neg_01410.wav,0,train,,,2,clips\negative\neg_01410.wav,features\negative\neg_01410.npy
neg_02051.wav,0,train,,,2,clips\negative\neg_02051.wav,features\negative\neg_02051.npy
neg_00202.wav,0,train,,,2,clips\negative\neg_00202.wav,features\negative\neg_00202.npy
neg_01302.wav,0,train,,,2,clips\negative\neg_01302.wav,features\negative\neg_01302.npy
neg_03290.wav,0,train,,,2,clips\negative\neg_03290.wav,features\negative\neg_03290.npy
pos_07251_Siren_3_snr+10dB.wav,1,train,10.0,Siren_3,2,clips\positive\pos_07251_Siren_3_snr+10dB.wav,features\positive\pos_07251_Siren_3_snr+10dB.npy
neg_03808.wav,0,train,,,2,clips\negative\neg_03808.wav,features\negative\neg_03808.npy
neg_01333.wav,0,train,,,2,clips\negative\neg_01333.wav,features\negative\neg_01333.npy
neg_02604.wav,0,train,,,2,clips\negative\neg_02604.wav,features\negative\neg_02604.npy
neg_03575.wav,0,train,,,2,clips\negative\neg_03575.wav,features\negative\neg_03575.npy
pos_01598_Siren_5_snr+0dB.wav,1,train,0.0,Siren_5,2,clips\positive\pos_01598_Siren_5_snr+0dB.wav,features\positive\pos_01598_Siren_5_snr+0dB.npy
pos_01534_Siren_8_snr-5dB.wav,1,train,-5.0,Siren_8,2,clips\positive\pos_01534_Siren_8_snr-5dB.wav,features\positive\pos_01534_Siren_8_snr-5dB.npy
neg_05012.wav,0,train,,,2,clips\negative\neg_05012.wav,features\negative\neg_05012.npy
pos_02988_Siren_7_snr+0dB.wav,1,train,0.0,Siren_7,2,clips\positive\pos_02988_Siren_7_snr+0dB.wav,features\positive\pos_02988_Siren_7_snr+0dB.npy
pos_03646_Siren_7_snr+10dB.wav,1,train,10.0,Siren_7,2,clips\positive\pos_03646_Siren_7_snr+10dB.wav,features\positive\pos_03646_Siren_7_snr+10dB.npy
neg_00199.wav,0,train,,,2,clips\negative\neg_00199.wav,features\negative\neg_00199.npy
neg_02117.wav,0,train,,,2,clips\negative\neg_02117.wav,features\negative\neg_02117.npy
neg_02605.wav,0,train,,,2,clips\negative\neg_02605.wav,features\negative\neg_02605.npy
neg_04146.wav,0,train,,,2,clips\negative\neg_04146.wav,features\negative\neg_04146.npy
pos_05646_Siren_5_snr+10dB.wav,1,train,10.0,Siren_5,2,clips\positive\pos_05646_Siren_5_snr+10dB.wav,features\positive\pos_05646_Siren_5_snr+10dB.npy
neg_02679.wav,0,train,,,2,clips\negative\neg_02679.wav,features\negative\neg_02679.npy
neg_03218.wav,0,train,,,2,clips\negative\neg_03218.wav,features\negative\neg_03218.npy
neg_05153.wav,0,train,,,2,clips\negative\neg_05153.wav,features\negative\neg_05153.npy
pos_06835_Siren_7_snr+20dB.wav,1,train,20.0,Siren_7,2,clips\positive\pos_06835_Siren_7_snr+20dB.wav,features\positive\pos_06835_Siren_7_snr+20dB.npy
pos_05411_Siren_3_snr+10dB.wav,1,train,10.0,Siren_3,2,clips\positive\pos_05411_Siren_3_snr+10dB.wav,features\positive\pos_05411_Siren_3_snr+10dB.npy
pos_04705_Siren_7_snr+20dB.wav,1,train,20.0,Siren_7,2,clips\positive\pos_04705_Siren_7_snr+20dB.wav,features\positive\pos_04705_Siren_7_snr+20dB.npy
neg_00668.wav,0,train,,,2,clips\negative\neg_00668.wav,features\negative\neg_00668.npy
